variant,stream_bytes,byte_entropy,bit_ones_fraction,low_bit_ones_fraction,serial_lag1,repeated_32_byte_blocks,cross_seed_32_byte_repeats,seed_avalanche_mean_bits,seed_avalanche_stdev_bits,adjacent_seed_mean_bits,adjacent_seed_stdev_bits
baseline,16777216,7.999989052829583,0.5000787377357483,0.5000360608100891,0.00016835837702638994,0,0,128.0625,8.286613828941228,127.3203125,8.583171756544532
fast8x,16777216,7.999991344825514,0.49999289959669113,0.5001624822616577,0.00010167126630725942,0,0,127.90625,8.32394653619904,126.9296875,7.407959817138842
fast8x_wide,16777216,7.9999895615618755,0.5000088140368462,0.5000000596046448,0.00007921642975222916,0,0,127.359375,8.177459850673374,129.0390625,7.040510394928321
fast8x_batch,16777216,7.999989236907166,0.500104583799839,0.5000602602958679,0.0003176545895860339,0,0,129.0,7.599342076785332,127.5625,8.895003864529796
