implementation,bytes,elapsed_s,mib_per_s,notes
tricube_c_stream_baseline,67108864,0.875903,73.067,local branch smoke run after adding fast8x
tricube_c_stream_fast8x,67108864,0.488772,130.940,local branch smoke run after adding fast8x
